seed,exp_beta,kappa,n,events
101,1.2344600113453563,0.5859133921497801,1144,720
102,1.4033696610564848,0.5689349478599934,1112,708
103,1.2680571550113855,0.586482945750807,1132,700
104,1.3217169038832637,0.5944479605195715,1128,713
105,1.218937328685607,0.5848864605836649,1120,690
106,1.284501371484202,0.5865182290363465,1156,724
107,1.2347112707838994,0.6394945594523804,1179,726
108,1.177200540318707,0.574626192489255,1167,729
109,1.2227878714652722,0.6283577913850242,1088,700
110,1.4106850314116524,0.5934048135057743,1156,745
111,1.2661981242648346,0.6192394674462256,1157,744
112,1.265241069425662,0.5716852011947801,1167,723
113,1.3040092334654216,0.5611041226592623,1115,673
114,1.3764545486854678,0.5693183241034723,1174,719
115,1.2873985215687098,0.5812827684199086,1143,709
116,1.2100837993941347,0.5681165243415863,1102,665
117,1.2005498109256274,0.596399692845826,1142,727
118,1.370904996501623,0.5968796544947536,1092,700
119,1.3914982395447937,0.5644580913558203,1050,652
120,1.158683815292242,0.5563263272945028,1109,678
121,1.3353463999956077,0.5833818303736227,1147,733
122,1.2038506519234335,0.6347376196848686,1175,757
123,1.2764879322535096,0.5658602707475092,1145,736
124,1.3904472512653427,0.5861074302631788,1157,731
125,1.294538024119322,0.5546978486307036,1139,695
